"ComputerName","ResolvesToIP","IPResolvesTo","PingStatus"
"xf-s-HFMFE01P.xe.abb.com","10.17.103.6","xf-s-HFMFE01P.xe.abb.com","Host Online"
"xf-s-HFMAP01P.xe.abb.com","10.17.103.7","xf-s-HFMAP01P.xe.abb.com","Host Online"
"xf-s-HFMDB01P.xe.abb.com","10.17.103.8","xf-s-HFMDB01P.xe.abb.com","Host Online"
"xf-s-HFMAP01S.xe.abb.com","10.17.102.134","xf-s-HFMAP01S.xe.abb.com","Host Online"
"xf-s-HFMAP02S.xe.abb.com","10.17.102.135","xf-s-HFMAP02S.xe.abb.com","Host Online"
"xf-s-HFMAP03S.xe.abb.com","10.17.102.136","xf-s-HFMAP03S.xe.abb.com","Host Online"
"xf-s-HFMAP01D.xe.abb.com","10.17.110.30","xf-s-HFMAP01D.xe.abb.com","Host Online"
